Timestamp        S0C    S1C    S0U    S1U      EC       EU        OC         OU       MC     MU    CCSC   CCSU   YGC     YGCT    FGC    FGCT    CGC    CGCT     GCT   
            9.2  0.0    0.0    0.0    0.0   15360.0    0.0     80896.0      0.0      0.0    0.0    0.0    0.0        0    0.000   0      0.000   0      0.000    0.000
           11.2  0.0    0.0    0.0    0.0   15360.0   1024.0   80896.0      0.0      0.0    0.0    0.0    0.0        0    0.000   0      0.000   0      0.000    0.000
           13.2  0.0    0.0    0.0    0.0   15360.0   1024.0   80896.0      0.0      0.0    0.0    0.0    0.0        0    0.000   0      0.000   0      0.000    0.000
           15.2  0.0    0.0    0.0    0.0   15360.0   1024.0   80896.0      0.0      0.0    0.0    0.0    0.0        0    0.000   0      0.000   0      0.000    0.000
           17.2  0.0    0.0    0.0    0.0   15360.0   1024.0   80896.0      0.0      0.0    0.0    0.0    0.0        0    0.000   0      0.000   0      0.000    0.000
           19.3  0.0    0.0    0.0    0.0   15360.0   1024.0   80896.0      0.0      0.0    0.0    0.0    0.0        0    0.000   0      0.000   0      0.000    0.000
           21.2  0.0    0.0    0.0    0.0   15360.0   1024.0   80896.0      0.0      0.0    0.0    0.0    0.0        0    0.000   0      0.000   0      0.000    0.000
           23.2  0.0    0.0    0.0    0.0   15360.0   1024.0   80896.0      0.0      0.0    0.0    0.0    0.0        0    0.000   0      0.000   0      0.000    0.000
           25.3  0.0    0.0    0.0    0.0   15360.0   1024.0   80896.0      0.0      0.0    0.0    0.0    0.0        0    0.000   0      0.000   0      0.000    0.000
           27.3  0.0    0.0    0.0    0.0   15360.0   1024.0   80896.0      0.0      0.0    0.0    0.0    0.0        0    0.000   0      0.000   0      0.000    0.000
           29.3  0.0    0.0    0.0    0.0   15360.0   1024.0   80896.0      0.0      0.0    0.0    0.0    0.0        0    0.000   0      0.000   0      0.000    0.000
           31.3  0.0    0.0    0.0    0.0   15360.0   1024.0   80896.0      0.0      0.0    0.0    0.0    0.0        0    0.000   0      0.000   0      0.000    0.000
           33.3  0.0    0.0    0.0    0.0   15360.0   1024.0   80896.0      0.0      0.0    0.0    0.0    0.0        0    0.000   0      0.000   0      0.000    0.000
           35.3  0.0    0.0    0.0    0.0   15360.0   1024.0   80896.0      0.0      0.0    0.0    0.0    0.0        0    0.000   0      0.000   0      0.000    0.000
           37.3  0.0    0.0    0.0    0.0   15360.0   1024.0   80896.0      0.0      0.0    0.0    0.0    0.0        0    0.000   0      0.000   0      0.000    0.000
           39.3  0.0    0.0    0.0    0.0   15360.0   1024.0   80896.0      0.0      0.0    0.0    0.0    0.0        0    0.000   0      0.000   0      0.000    0.000
           41.3  0.0    0.0    0.0    0.0   15360.0   1024.0   80896.0      0.0      0.0    0.0    0.0    0.0        0    0.000   0      0.000   0      0.000    0.000
           43.3  0.0    0.0    0.0    0.0   15360.0   1024.0   80896.0      0.0      0.0    0.0    0.0    0.0        0    0.000   0      0.000   0      0.000    0.000
           45.3  0.0    0.0    0.0    0.0   15360.0   1024.0   80896.0      0.0      0.0    0.0    0.0    0.0        0    0.000   0      0.000   0      0.000    0.000
           47.3  0.0    0.0    0.0    0.0   15360.0   1024.0   80896.0      0.0      0.0    0.0    0.0    0.0        0    0.000   0      0.000   0      0.000    0.000
           49.3  0.0    0.0    0.0    0.0   15360.0   1024.0   80896.0      0.0      0.0    0.0    0.0    0.0        0    0.000   0      0.000   0      0.000    0.000
           51.3  0.0    0.0    0.0    0.0   15360.0   1024.0   80896.0      0.0      0.0    0.0    0.0    0.0        0    0.000   0      0.000   0      0.000    0.000
           53.3  0.0    0.0    0.0    0.0   15360.0   1024.0   80896.0      0.0      0.0    0.0    0.0    0.0        0    0.000   0      0.000   0      0.000    0.000
           55.3  0.0    0.0    0.0    0.0   15360.0   1024.0   80896.0      0.0      0.0    0.0    0.0    0.0        0    0.000   0      0.000   0      0.000    0.000
           57.3  0.0    0.0    0.0    0.0   15360.0   1024.0   80896.0      0.0      0.0    0.0    0.0    0.0        0    0.000   0      0.000   0      0.000    0.000
           59.3  0.0    0.0    0.0    0.0   15360.0   1024.0   80896.0      0.0      0.0    0.0    0.0    0.0        0    0.000   0      0.000   0      0.000    0.000
           61.3  0.0    0.0    0.0    0.0   15360.0   1024.0   80896.0      0.0      0.0    0.0    0.0    0.0        0    0.000   0      0.000   0      0.000    0.000
           63.3  0.0    0.0    0.0    0.0   15360.0   1024.0   80896.0      0.0      0.0    0.0    0.0    0.0        0    0.000   0      0.000   0      0.000    0.000
           65.3  0.0    0.0    0.0    0.0   15360.0   1024.0   80896.0      0.0      0.0    0.0    0.0    0.0        0    0.000   0      0.000   0      0.000    0.000
           67.3  0.0    0.0    0.0    0.0   15360.0   1024.0   80896.0      0.0      0.0    0.0    0.0    0.0        0    0.000   0      0.000   0      0.000    0.000
